frame_idx,time_sec,kps_ref,kps_cur,good_matches,inliers,inlier_ratio,centroid_ref_x,centroid_ref_y,centroid_warped_x,centroid_warped_y,centroid_shift_px,mean_dist_ref,mean_dist_warped,shape_drift_abs,shape_drift_rel,reprojection_error_px,status
20,0.6665097046413502,677,683,483,473,0.979296,648.4718017578125,385.6833190917969,648.4816284179688,385.68841552734375,0.011069638654589653,49.90386199951172,49.90858840942383,0.004726409912109375,9.471030342612803e-05,0.7172126173973083,ok
25,0.8331371308016877,677,702,497,493,0.991952,646.367431640625,386.6561279296875,646.3579711914062,386.6534118652344,0.009842616505920887,49.381710052490234,49.39825439453125,0.016544342041015625,0.0003350297513680639,0.6680815815925598,ok
30,0.9997645569620253,677,676,452,443,0.980088,646.2809448242188,387.6415710449219,646.2396240234375,387.62994384765625,0.04292552173137665,49.543426513671875,49.59136962890625,0.047943115234375,0.0009676988171406502,0.7981860637664795,ok
35,1.1663919831223628,677,707,454,444,0.977974,646.6696166992188,385.5893249511719,646.6621704101562,385.59600830078125,0.010005717165768147,48.99623489379883,49.012725830078125,0.016490936279296875,0.0003365755820838396,0.8067688941955566,ok
40,1.3330194092827004,677,709,455,448,0.984615,646.6544189453125,387.2167053222656,646.6528930664062,387.2808532714844,0.06416609138250351,49.06341552734375,49.06739044189453,0.00397491455078125,8.101585484944424e-05,0.7532420754432678,ok
45,1.499646835443038,677,699,427,421,0.985948,646.8259887695312,387.9278259277344,646.769287109375,388.0884704589844,0.17035768926143646,48.81985855102539,48.97300338745117,0.15314483642578125,0.003136937323685971,0.9077412486076355,ok
50,1.6662742616033754,677,670,450,443,0.984444,645.7146606445312,388.5224304199219,645.7305297851562,388.5473937988281,0.02958039753139019,49.21693420410156,49.27964401245117,0.06270980834960938,0.0012741510490993436,0.8135932683944702,ok
55,1.832901687763713,677,684,464,454,0.978448,645.4746704101562,385.8233947753906,645.4903564453125,385.8472900390625,0.02858383022248745,48.539058685302734,48.55203628540039,0.01297760009765625,0.0002673640661594818,0.7986508011817932,ok
60,1.9995291139240505,677,662,421,412,0.978622,647.6879272460938,385.1441650390625,647.7063598632812,384.9967041015625,0.1486085057258606,49.22821044921875,49.09519958496094,0.1330108642578125,0.002701923613392763,0.9065287113189697,ok
65,2.1661565400843883,677,684,421,411,0.976247,647.8588256835938,387.3061828613281,647.9434814453125,387.47509765625,0.18894127011299133,48.75578689575195,48.97608184814453,0.22029495239257812,0.0045183344669137565,0.9076071977615356,ok
